Segments,Household Counts,Wants to buy security devices,Will Switch Brands,High & Medium IPA*,Pay more to buy Top Quality Electronics
Comfortable Retirees,0.02,0.01,0.01,0,0
Diverse Workers,0.04,0.02,0.03,0,0.01
Elder Midscale Class,0.02,0.02,0.01,0,0.01
Elite Households,0.02,0.04,0.01,0.02,0.01
Mass Markets,0.04,0.04,0.03,0,0.01
Modest Families,0.02,0.01,0.01,0,0.01
Prosperous Acheivers,0.02,0.04,0.01,0.02,0.01
Upscale Matures,0.01,0.02,0.01,0.01,0
Well-heeled  Affluents,0.01,0.06,0.01,0.01,0
Young Affluent Mobiles,0.03,0.02,0.02,0.01,0.01
Young Upscale Families,0.03,0.02,0.02,0.02,0.01
Young Urban Masses,0.03,0.01,0.02,0,0.01
